id,blind_screen,text_status,n_ours,n_blind,matched,missed,omission_candidates
2-s2.0-85139957474,INCLUDE,ok,4,4,4,0,0
2-s2.0-85140592237,INCLUDE,ok,1,1,1,0,0
2-s2.0-85140623057,INCLUDE,ok,4,4,4,0,0
2-s2.0-85141611104,INCLUDE,ok,1,1,1,0,0
2-s2.0-85141666446,INCLUDE,ok,1,2,1,0,1
2-s2.0-85141702826,INCLUDE,ok,1,2,1,0,1
2-s2.0-85142132951,EXCLUDE,ok,2,0,0,2,0
2-s2.0-85142229013,EXCLUDE,ok,1,0,0,1,0
2-s2.0-85142238598,EXCLUDE,ok,0,0,0,0,0
2-s2.0-85142396682,INCLUDE,ok,6,7,6,0,1
2-s2.0-85142798912,INCLUDE,ok,2,2,2,0,0
2-s2.0-85142886759,INCLUDE,ok,1,2,1,0,1
2-s2.0-85143274147,INCLUDE,ok,2,2,2,0,0
2-s2.0-85143511628,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-85143601086,INCLUDE,ok,8,8,8,0,0
2-s2.0-85145390598,INCLUDE,ok,2,2,2,0,0
2-s2.0-85145404443,INCLUDE,ok,1,2,1,0,0
2-s2.0-85145425628,INCLUDE,ok,2,2,2,0,0
2-s2.0-85145738265,INCLUDE,ok,1,1,1,0,0
2-s2.0-85145881152,INCLUDE,ok,1,2,1,0,1
2-s2.0-85145956359,INCLUDE,ok,3,5,3,0,2
2-s2.0-85146080522,INCLUDE,ok,1,1,1,0,0
2-s2.0-85146384927,INCLUDE,ok,1,1,1,0,0
2-s2.0-85147187174,INCLUDE,ok,1,1,1,0,0
2-s2.0-85147303661,EXCLUDE,wrong_paper,1,0,0,1,0
2-s2.0-85147686336,INCLUDE,ok,2,2,2,0,0
2-s2.0-85147755699,INCLUDE,ok,1,2,1,0,0
2-s2.0-85148963619,INCLUDE,ok,3,4,2,1,0
2-s2.0-85149209612,INCLUDE,ok,3,2,1,2,1
2-s2.0-85150021066,INCLUDE,ok,1,2,1,0,0
2-s2.0-85152674280,INCLUDE,ok,1,3,1,0,0
2-s2.0-85153780137,INCLUDE,ok,1,1,1,0,0
2-s2.0-85153931706,INCLUDE,ok,1,2,0,1,2
2-s2.0-85154558018,INCLUDE,ok,3,4,3,0,1
2-s2.0-85158874704,INCLUDE,ok,4,4,4,0,0
2-s2.0-85159153364,INCLUDE,ok,6,6,4,2,1
2-s2.0-85159326203,INCLUDE,ok,2,3,2,0,1
2-s2.0-85159486270,INCLUDE,ok,1,1,1,0,0
2-s2.0-85159598935,INCLUDE,ok,2,2,2,0,0
2-s2.0-85159871316,INCLUDE,ok,1,2,1,0,1
2-s2.0-85159889148,INCLUDE,ok,2,4,2,0,0
2-s2.0-85160008311,INCLUDE,ok,1,4,1,0,1
2-s2.0-85160248068,INCLUDE,ok,6,20,6,0,4
2-s2.0-85161897232,INCLUDE,ok,1,1,1,0,0
2-s2.0-85162702221,INCLUDE,ok,1,5,1,0,0
2-s2.0-85163154882,INCLUDE,ok,2,3,2,0,1
2-s2.0-85163186108,INCLUDE,ok,1,3,1,0,2
2-s2.0-85163914263,INCLUDE,ok,1,1,1,0,0
2-s2.0-85164339474,INCLUDE,ok,6,8,6,0,2
2-s2.0-85164694763,INCLUDE,ok,2,3,2,0,1
2-s2.0-85165815218,EXCLUDE,ok,0,0,0,0,0
2-s2.0-85167574647,INCLUDE,ok,1,1,1,0,0
2-s2.0-85168270535,INCLUDE,ok,3,2,2,1,0
2-s2.0-85168520853,INCLUDE,ok,1,2,1,0,1
2-s2.0-85169326292,INCLUDE,ok,1,1,1,0,0
2-s2.0-85169998829,INCLUDE,ok,2,2,2,0,0
2-s2.0-85170646255,INCLUDE,ok,2,4,2,0,0
2-s2.0-85172171076,INCLUDE,ok,2,2,2,0,0
2-s2.0-85172813494,INCLUDE,ok,3,6,3,0,1
2-s2.0-85173224200,INCLUDE,ok,2,2,2,0,0
2-s2.0-85173521631,INCLUDE,ok,1,2,1,0,0
2-s2.0-85173876735,INCLUDE,ok,4,4,4,0,0
2-s2.0-85173877860,INCLUDE,ok,1,4,1,0,3
2-s2.0-85173913530,INCLUDE,ok,1,1,0,1,1
2-s2.0-85174615177,INCLUDE,ok,1,3,1,0,1
2-s2.0-85174641364,INCLUDE,ok,1,2,1,0,1
2-s2.0-85175105353,INCLUDE,ok,1,1,1,0,0
2-s2.0-85175983241,INCLUDE,ok,1,2,1,0,1
2-s2.0-85177420309,INCLUDE,ok,12,13,12,0,1
2-s2.0-85179481261,INCLUDE,ok,2,1,1,1,0
2-s2.0-85180239525,INCLUDE,ok,1,1,1,0,0
2-s2.0-85181200454,INCLUDE,ok,2,2,2,0,0
2-s2.0-85181752010,INCLUDE,ok,1,2,1,0,1
2-s2.0-85182846541,INCLUDE,ok,2,4,2,0,2
2-s2.0-85184824168,INCLUDE,ok,3,3,3,0,0
2-s2.0-85186467273,INCLUDE,abstract_only,1,0,0,1,0
2-s2.0-85186874194,INCLUDE,ok,1,2,1,0,1
2-s2.0-85187117251,INCLUDE,ok,2,2,2,0,0
2-s2.0-85188173755,INCLUDE,ok,1,1,1,0,0
2-s2.0-85188303314,INCLUDE,ok,2,2,2,0,0
2-s2.0-85188358632,INCLUDE,ok,1,4,1,0,3
2-s2.0-85188806397,INCLUDE,ok,2,2,2,0,0
2-s2.0-85188840472,INCLUDE,ok,1,1,1,0,0
2-s2.0-85189042631,INCLUDE,ok,1,5,1,0,4
2-s2.0-85190817518,INCLUDE,ok,1,3,1,0,2
2-s2.0-85191357340,INCLUDE,ok,1,1,1,0,0
2-s2.0-85191403735,INCLUDE,ok,1,1,1,0,0
2-s2.0-85191807094,INCLUDE,abstract_only,1,1,0,1,1
2-s2.0-85192081358,INCLUDE,ok,1,3,1,0,0
2-s2.0-85192567032,EXCLUDE,abstract_only,0,0,0,0,0
2-s2.0-85192635397,INCLUDE,ok,4,4,4,0,0
2-s2.0-85193588807,INCLUDE,ok,1,2,1,0,1
2-s2.0-85194023903,INCLUDE,ok,2,1,0,2,0
2-s2.0-85194075145,INCLUDE,ok,1,2,1,0,1
2-s2.0-85194112418,INCLUDE,abstract_only,1,1,1,0,0
2-s2.0-85194733750,INCLUDE,ok,2,4,2,0,2
2-s2.0-85194880315,INCLUDE,ok,2,8,2,0,6
2-s2.0-85194953420,INCLUDE,ok,1,2,1,0,0
2-s2.0-85195353413,INCLUDE,ok,2,2,2,0,0
2-s2.0-85195375481,INCLUDE,ok,1,1,1,0,0
2-s2.0-85197220523,INCLUDE,ok,1,1,1,0,0
2-s2.0-85197949220,INCLUDE,ok,2,1,1,1,0
2-s2.0-85199110625,INCLUDE,ok,4,2,2,2,0
2-s2.0-85199446608,INCLUDE,ok,5,5,5,0,0
2-s2.0-85200952814,INCLUDE,ok,1,1,1,0,0
2-s2.0-85201115057,INCLUDE,ok,12,0,0,12,0
2-s2.0-85203845655,INCLUDE,ok,1,1,0,1,1
2-s2.0-85205142420,INCLUDE,ok,4,4,2,2,2
2-s2.0-85205336320,INCLUDE,ok,1,1,1,0,0
2-s2.0-85205688160,INCLUDE,ok,4,6,4,0,2
2-s2.0-85207525286,INCLUDE,ok,0,2,0,0,0
2-s2.0-85208681084,INCLUDE,abstract_only,1,2,1,0,1
2-s2.0-85209206311,INCLUDE,ok,1,3,1,0,0
2-s2.0-85209547248,INCLUDE,ok,3,3,3,0,0
2-s2.0-85209813530,INCLUDE,ok,1,2,1,0,0
2-s2.0-85210156482,INCLUDE,ok,1,1,1,0,0
2-s2.0-85211132788,INCLUDE,ok,1,1,1,0,0
2-s2.0-85212052138,INCLUDE,ok,1,1,1,0,0
2-s2.0-85212060458,INCLUDE,ok,2,2,2,0,0
2-s2.0-85213223975,INCLUDE,ok,3,3,3,0,0
2-s2.0-85213958624,INCLUDE,ok,1,1,1,0,0
2-s2.0-85214082693,INCLUDE,ok,4,3,3,1,0
2-s2.0-85214504236,INCLUDE,ok,1,2,1,0,0
2-s2.0-85215303159,INCLUDE,ok,2,2,1,1,1
2-s2.0-85215601689,INCLUDE,ok,1,1,1,0,0
2-s2.0-85215939792,EXCLUDE,ok,0,0,0,0,0
2-s2.0-85217197547,INCLUDE,ok,1,2,1,0,1
